document_id,분류,직무 설명,능력단위 명,content
NCS-00016,금융·보험 > 보험,"보험 상품을 설명하고 가입, 계약 유지, 보상 절차를 지원하는 직무",보험계약 관리,"분류: 금융·보험 > 보험. 직무 설명: 보험 상품을 설명하고 가입, 계약 유지, 보상 절차를 지원하는 직무. 능력단위 명: 보험계약 관리."
NCS-00017,교육·자연·사회과학 > 교육기획,교육 대상과 목적에 맞는 교육 과정과 학습 운영 방식을 설계하는 직무,교육과정 개발,분류: 교육·자연·사회과학 > 교육기획. 직무 설명: 교육 대상과 목적에 맞는 교육 과정과 학습 운영 방식을 설계하는 직무. 능력단위 명: 교육과정 개발.
NCS-00018,교육·자연·사회과학 > 교육운영,교육 프로그램을 운영하고 학습자의 참여와 성과를 관리하는 직무,교육운영 관리,분류: 교육·자연·사회과학 > 교육운영. 직무 설명: 교육 프로그램을 운영하고 학습자의 참여와 성과를 관리하는 직무. 능력단위 명: 교육운영 관리.
NCS-00019,교육·자연·사회과학 > 직업상담,"개인의 흥미, 역량, 경험을 분석하여 진로와 직업 선택을 돕는 직무",직업상담,"분류: 교육·자연·사회과학 > 직업상담. 직무 설명: 개인의 흥미, 역량, 경험을 분석하여 진로와 직업 선택을 돕는 직무. 능력단위 명: 직업상담."
NCS-00020,교육·자연·사회과학 > 평생교육,성인 학습자의 필요에 맞춘 평생교육 프로그램을 기획하고 운영하는 직무,평생교육 프로그램 운영,분류: 교육·자연·사회과학 > 평생교육. 직무 설명: 성인 학습자의 필요에 맞춘 평생교육 프로그램을 기획하고 운영하는 직무. 능력단위 명: 평생교육 프로그램 운영.
NCS-00021,법률·경찰·소방·교도·국방 > 법률사무,"법률 문서 작성, 사건 자료 정리, 법률 절차 지원을 수행하는 직무",법률문서 작성,"분류: 법률·경찰·소방·교도·국방 > 법률사무. 직무 설명: 법률 문서 작성, 사건 자료 정리, 법률 절차 지원을 수행하는 직무. 능력단위 명: 법률문서 작성."
NCS-00022,법률·경찰·소방·교도·국방 > 경찰,"공공질서 유지와 범죄 예방, 사건 대응 업무를 수행하는 직무",범죄예방 활동,"분류: 법률·경찰·소방·교도·국방 > 경찰. 직무 설명: 공공질서 유지와 범죄 예방, 사건 대응 업무를 수행하는 직무. 능력단위 명: 범죄예방 활동."
NCS-00023,법률·경찰·소방·교도·국방 > 소방,"화재 예방, 구조, 구급, 재난 대응 업무를 수행하는 직무",화재진압,"분류: 법률·경찰·소방·교도·국방 > 소방. 직무 설명: 화재 예방, 구조, 구급, 재난 대응 업무를 수행하는 직무. 능력단위 명: 화재진압."
NCS-00024,보건·의료 > 의료행정,"병원과 의료기관의 접수, 수납, 진료 지원, 행정 자료 관리를 수행하는 직무",의료기관 행정관리,"분류: 보건·의료 > 의료행정. 직무 설명: 병원과 의료기관의 접수, 수납, 진료 지원, 행정 자료 관리를 수행하는 직무. 능력단위 명: 의료기관 행정관리."
NCS-00025,보건·의료 > 간호지원,간호 업무를 보조하고 환자의 기본적인 돌봄과 안전을 지원하는 직무,환자안전 지원,분류: 보건·의료 > 간호지원. 직무 설명: 간호 업무를 보조하고 환자의 기본적인 돌봄과 안전을 지원하는 직무. 능력단위 명: 환자안전 지원.
NCS-00026,보건·의료 > 보건지원,"건강관리, 보건교육, 질병 예방 활동을 지원하는 직무",보건교육 지원,"분류: 보건·의료 > 보건지원. 직무 설명: 건강관리, 보건교육, 질병 예방 활동을 지원하는 직무. 능력단위 명: 보건교육 지원."
NCS-00027,사회복지·종교 > 사회복지,"대상자의 복지 욕구를 파악하고 상담, 사례관리, 서비스 연계를 수행하는 직무",사회복지 사례관리,"분류: 사회복지·종교 > 사회복지. 직무 설명: 대상자의 복지 욕구를 파악하고 상담, 사례관리, 서비스 연계를 수행하는 직무. 능력단위 명: 사회복지 사례관리."
NCS-00028,사회복지·종교 > 보육,영유아의 발달 단계에 맞춰 돌봄과 교육 활동을 지원하는 직무,보육활동 운영,분류: 사회복지·종교 > 보육. 직무 설명: 영유아의 발달 단계에 맞춰 돌봄과 교육 활동을 지원하는 직무. 능력단위 명: 보육활동 운영.
NCS-00029,사회복지·종교 > 상담,"개인의 심리적, 사회적 문제를 듣고 필요한 지원 방향을 안내하는 직무",상담 초기면접,"분류: 사회복지·종교 > 상담. 직무 설명: 개인의 심리적, 사회적 문제를 듣고 필요한 지원 방향을 안내하는 직무. 능력단위 명: 상담 초기면접."
NCS-00030,문화·예술·디자인·방송 > 디자인,사용자와 브랜드 목적에 맞는 시각 결과물을 기획하고 제작하는 직무,시각디자인 개발,분류: 문화·예술·디자인·방송 > 디자인. 직무 설명: 사용자와 브랜드 목적에 맞는 시각 결과물을 기획하고 제작하는 직무. 능력단위 명: 시각디자인 개발.
NCS-00031,문화·예술·디자인·방송 > 디자인,제품이나 서비스의 사용성과 심미성을 고려하여 인터페이스를 설계하는 직무,UI 디자인,분류: 문화·예술·디자인·방송 > 디자인. 직무 설명: 제품이나 서비스의 사용성과 심미성을 고려하여 인터페이스를 설계하는 직무. 능력단위 명: UI 디자인.
NCS-00032,문화·예술·디자인·방송 > 콘텐츠제작,"영상, 이미지, 글, 음성 등 다양한 콘텐츠를 기획하고 제작하는 직무",콘텐츠 기획,"분류: 문화·예술·디자인·방송 > 콘텐츠제작. 직무 설명: 영상, 이미지, 글, 음성 등 다양한 콘텐츠를 기획하고 제작하는 직무. 능력단위 명: 콘텐츠 기획."
NCS-00033,문화·예술·디자인·방송 > 방송,"방송 프로그램의 기획, 촬영, 편집, 송출을 지원하는 직무",방송콘텐츠 제작,"분류: 문화·예술·디자인·방송 > 방송. 직무 설명: 방송 프로그램의 기획, 촬영, 편집, 송출을 지원하는 직무. 능력단위 명: 방송콘텐츠 제작."
NCS-00034,영업판매 > 일반영업,고객을 발굴하고 상품 또는 서비스를 제안하여 거래를 성사시키는 직무,영업기회 발굴,분류: 영업판매 > 일반영업. 직무 설명: 고객을 발굴하고 상품 또는 서비스를 제안하여 거래를 성사시키는 직무. 능력단위 명: 영업기회 발굴.
NCS-00035,영업판매 > 일반영업,고객 니즈를 분석하고 제안 내용을 구성하여 판매 활동을 수행하는 직무,고객제안,분류: 영업판매 > 일반영업. 직무 설명: 고객 니즈를 분석하고 제안 내용을 구성하여 판매 활동을 수행하는 직무. 능력단위 명: 고객제안.
NCS-00036,영업판매 > 판매관리,"매장 운영, 상품 진열, 고객 응대, 판매 실적 관리를 수행하는 직무",매장판매 관리,"분류: 영업판매 > 판매관리. 직무 설명: 매장 운영, 상품 진열, 고객 응대, 판매 실적 관리를 수행하는 직무. 능력단위 명: 매장판매 관리."
NCS-00037,영업판매 > 전자상거래,"온라인 채널에서 상품 등록, 주문 처리, 고객 응대, 판매 데이터를 관리하는 직무",온라인 판매관리,"분류: 영업판매 > 전자상거래. 직무 설명: 온라인 채널에서 상품 등록, 주문 처리, 고객 응대, 판매 데이터를 관리하는 직무. 능력단위 명: 온라인 판매관리."
NCS-00038,경비·청소 > 경비,시설과 인원의 안전을 확보하고 출입 통제와 순찰을 수행하는 직무,시설경비,분류: 경비·청소 > 경비. 직무 설명: 시설과 인원의 안전을 확보하고 출입 통제와 순찰을 수행하는 직무. 능력단위 명: 시설경비.
NCS-00039,경비·청소 > 청소,건물과 시설의 위생 상태를 유지하고 청결 관리 업무를 수행하는 직무,환경미화,분류: 경비·청소 > 청소. 직무 설명: 건물과 시설의 위생 상태를 유지하고 청결 관리 업무를 수행하는 직무. 능력단위 명: 환경미화.
NCS-00040,이용·숙박·여행·오락·스포츠 > 스포츠서비스,"스포츠 프로그램 운영, 고객 지도, 시설 안전 관리를 수행하는 직무",스포츠 프로그램 운영,"분류: 이용·숙박·여행·오락·스포츠 > 스포츠서비스. 직무 설명: 스포츠 프로그램 운영, 고객 지도, 시설 안전 관리를 수행하는 직무. 능력단위 명: 스포츠 프로그램 운영."
NCS-00041,이용·숙박·여행·오락·스포츠 > 스포츠지도,운동 목적과 신체 조건에 맞춰 운동 방법과 훈련 방향을 지도하는 직무,운동지도,분류: 이용·숙박·여행·오락·스포츠 > 스포츠지도. 직무 설명: 운동 목적과 신체 조건에 맞춰 운동 방법과 훈련 방향을 지도하는 직무. 능력단위 명: 운동지도.
NCS-00042,이용·숙박·여행·오락·스포츠 > 여행서비스,"여행 상품을 안내하고 일정, 예약, 고객 상담을 수행하는 직무",여행상품 상담,"분류: 이용·숙박·여행·오락·스포츠 > 여행서비스. 직무 설명: 여행 상품을 안내하고 일정, 예약, 고객 상담을 수행하는 직무. 능력단위 명: 여행상품 상담."
NCS-00043,이용·숙박·여행·오락·스포츠 > 숙박서비스,"숙박 고객 응대, 객실 예약, 서비스 품질 관리를 수행하는 직무",객실예약 관리,"분류: 이용·숙박·여행·오락·스포츠 > 숙박서비스. 직무 설명: 숙박 고객 응대, 객실 예약, 서비스 품질 관리를 수행하는 직무. 능력단위 명: 객실예약 관리."
NCS-00044,음식서비스 > 조리,식재료를 준비하고 위생 기준에 맞춰 음식을 조리하는 직무,식재료 전처리,분류: 음식서비스 > 조리. 직무 설명: 식재료를 준비하고 위생 기준에 맞춰 음식을 조리하는 직무. 능력단위 명: 식재료 전처리.
NCS-00045,음식서비스 > 조리,메뉴 특성에 맞게 조리 방법을 선택하고 품질을 관리하는 직무,한식조리,분류: 음식서비스 > 조리. 직무 설명: 메뉴 특성에 맞게 조리 방법을 선택하고 품질을 관리하는 직무. 능력단위 명: 한식조리.
NCS-00046,음식서비스 > 식음료서비스,"고객 응대, 주문 접수, 음료와 음식 제공을 수행하는 직무",식음료 접객,"분류: 음식서비스 > 식음료서비스. 직무 설명: 고객 응대, 주문 접수, 음료와 음식 제공을 수행하는 직무. 능력단위 명: 식음료 접객."
NCS-00047,건설 > 건축설계,건축물의 목적과 법규를 고려하여 공간과 구조를 설계하는 직무,건축설계 기획,분류: 건설 > 건축설계. 직무 설명: 건축물의 목적과 법규를 고려하여 공간과 구조를 설계하는 직무. 능력단위 명: 건축설계 기획.
NCS-00048,건설 > 건축시공,"건축 공사의 일정, 품질, 안전을 관리하며 시공을 수행하는 직무",건축공사 관리,"분류: 건설 > 건축시공. 직무 설명: 건축 공사의 일정, 품질, 안전을 관리하며 시공을 수행하는 직무. 능력단위 명: 건축공사 관리."
NCS-00049,건설 > 토목,"도로, 교량, 하천 등 사회기반시설의 설계와 시공을 수행하는 직무",토목시공 관리,"분류: 건설 > 토목. 직무 설명: 도로, 교량, 하천 등 사회기반시설의 설계와 시공을 수행하는 직무. 능력단위 명: 토목시공 관리."
NCS-00050,건설 > 건설안전,건설 현장의 위험 요인을 파악하고 사고 예방 활동을 수행하는 직무,건설안전 관리,분류: 건설 > 건설안전. 직무 설명: 건설 현장의 위험 요인을 파악하고 사고 예방 활동을 수행하는 직무. 능력단위 명: 건설안전 관리.
NCS-00051,기계 > 기계설계,"기계 부품과 장비의 기능, 구조, 제작 조건을 고려하여 설계하는 직무",기계요소 설계,"분류: 기계 > 기계설계. 직무 설명: 기계 부품과 장비의 기능, 구조, 제작 조건을 고려하여 설계하는 직무. 능력단위 명: 기계요소 설계."
NCS-00052,기계 > 기계가공,도면과 작업 기준에 따라 기계 부품을 가공하고 품질을 확인하는 직무,절삭가공,분류: 기계 > 기계가공. 직무 설명: 도면과 작업 기준에 따라 기계 부품을 가공하고 품질을 확인하는 직무. 능력단위 명: 절삭가공.
NCS-00053,기계 > 설비보전,"기계 설비의 고장을 예방하고 점검, 보수, 개선을 수행하는 직무",설비점검,"분류: 기계 > 설비보전. 직무 설명: 기계 설비의 고장을 예방하고 점검, 보수, 개선을 수행하는 직무. 능력단위 명: 설비점검."
NCS-00054,기계 > 자동차정비,"자동차의 고장 원인을 진단하고 정비, 수리, 점검을 수행하는 직무",자동차 엔진정비,"분류: 기계 > 자동차정비. 직무 설명: 자동차의 고장 원인을 진단하고 정비, 수리, 점검을 수행하는 직무. 능력단위 명: 자동차 엔진정비."
NCS-00055,재료 > 금속재료,"금속 재료의 특성을 이해하고 가공, 열처리, 품질관리를 수행하는 직무",금속재료 품질관리,"분류: 재료 > 금속재료. 직무 설명: 금속 재료의 특성을 이해하고 가공, 열처리, 품질관리를 수행하는 직무. 능력단위 명: 금속재료 품질관리."
NCS-00056,재료 > 용접,금속 부재를 목적에 맞게 접합하고 용접 품질을 확인하는 직무,용접작업,분류: 재료 > 용접. 직무 설명: 금속 부재를 목적에 맞게 접합하고 용접 품질을 확인하는 직무. 능력단위 명: 용접작업.
NCS-00057,화학·바이오 > 화학제품제조,화학 원료와 공정을 관리하여 제품을 생산하고 품질을 확인하는 직무,화학제품 생산관리,분류: 화학·바이오 > 화학제품제조. 직무 설명: 화학 원료와 공정을 관리하여 제품을 생산하고 품질을 확인하는 직무. 능력단위 명: 화학제품 생산관리.
NCS-00058,화학·바이오 > 바이오,바이오 소재와 실험 절차를 관리하고 분석 업무를 수행하는 직무,바이오 분석,분류: 화학·바이오 > 바이오. 직무 설명: 바이오 소재와 실험 절차를 관리하고 분석 업무를 수행하는 직무. 능력단위 명: 바이오 분석.
NCS-00059,섬유·의복 > 패션,"의류 상품을 기획하고 디자인, 생산, 판매 흐름을 관리하는 직무",패션상품 기획,"분류: 섬유·의복 > 패션. 직무 설명: 의류 상품을 기획하고 디자인, 생산, 판매 흐름을 관리하는 직무. 능력단위 명: 패션상품 기획."
NCS-00060,섬유·의복 > 봉제,"의류 제작 기준에 따라 재단, 봉제, 마감 작업을 수행하는 직무",의복봉제,"분류: 섬유·의복 > 봉제. 직무 설명: 의류 제작 기준에 따라 재단, 봉제, 마감 작업을 수행하는 직무. 능력단위 명: 의복봉제."
NCS-00061,전기·전자 > 전기설비,"전기 설비를 설치, 점검, 유지보수하고 안전 기준을 관리하는 직무",전기설비 유지관리,"분류: 전기·전자 > 전기설비. 직무 설명: 전기 설비를 설치, 점검, 유지보수하고 안전 기준을 관리하는 직무. 능력단위 명: 전기설비 유지관리."
NCS-00062,전기·전자 > 전기공사,전기 배선과 장비 설치를 수행하고 공사 품질과 안전을 관리하는 직무,전기공사 시공,분류: 전기·전자 > 전기공사. 직무 설명: 전기 배선과 장비 설치를 수행하고 공사 품질과 안전을 관리하는 직무. 능력단위 명: 전기공사 시공.
NCS-00063,전기·전자 > 전자기기,"전자 회로와 장비를 조립, 점검, 수리하는 직무",전자기기 점검,"분류: 전기·전자 > 전자기기. 직무 설명: 전자 회로와 장비를 조립, 점검, 수리하는 직무. 능력단위 명: 전자기기 점검."
NCS-00064,전기·전자 > 반도체,반도체 제조 공정과 장비를 운영하고 품질을 관리하는 직무,반도체 공정관리,분류: 전기·전자 > 반도체. 직무 설명: 반도체 제조 공정과 장비를 운영하고 품질을 관리하는 직무. 능력단위 명: 반도체 공정관리.
NCS-00065,정보통신 > 정보기술개발,"요구사항을 분석하고 소프트웨어를 설계, 구현, 테스트하는 직무",응용소프트웨어 개발,"분류: 정보통신 > 정보기술개발. 직무 설명: 요구사항을 분석하고 소프트웨어를 설계, 구현, 테스트하는 직무. 능력단위 명: 응용소프트웨어 개발."
NCS-00066,정보통신 > 정보기술개발,"웹 서비스의 화면, 서버, 데이터 흐름을 구현하고 유지보수하는 직무",웹 애플리케이션 개발,"분류: 정보통신 > 정보기술개발. 직무 설명: 웹 서비스의 화면, 서버, 데이터 흐름을 구현하고 유지보수하는 직무. 능력단위 명: 웹 애플리케이션 개발."
NCS-00067,정보통신 > 정보기술운영,"서버, 네트워크, 시스템 운영 상태를 점검하고 장애를 대응하는 직무",IT시스템 운영관리,"분류: 정보통신 > 정보기술운영. 직무 설명: 서버, 네트워크, 시스템 운영 상태를 점검하고 장애를 대응하는 직무. 능력단위 명: IT시스템 운영관리."
NCS-00068,정보통신 > 정보보호,"정보 자산을 보호하기 위해 보안 정책, 취약점 점검, 침해 대응을 수행하는 직무",정보보호 관리,"분류: 정보통신 > 정보보호. 직무 설명: 정보 자산을 보호하기 위해 보안 정책, 취약점 점검, 침해 대응을 수행하는 직무. 능력단위 명: 정보보호 관리."
NCS-00069,정보통신 > 데이터,"데이터를 수집, 정제, 분석하여 의사결정에 필요한 인사이트를 도출하는 직무",데이터 분석,"분류: 정보통신 > 데이터. 직무 설명: 데이터를 수집, 정제, 분석하여 의사결정에 필요한 인사이트를 도출하는 직무. 능력단위 명: 데이터 분석."
NCS-00070,정보통신 > 인공지능,"데이터와 모델을 활용하여 예측, 분류, 추천 기능을 구현하는 직무",인공지능 모델 개발,"분류: 정보통신 > 인공지능. 직무 설명: 데이터와 모델을 활용하여 예측, 분류, 추천 기능을 구현하는 직무. 능력단위 명: 인공지능 모델 개발."
NCS-00071,정보통신 > 클라우드,"클라우드 환경에서 인프라를 구성하고 배포, 운영, 모니터링을 수행하는 직무",클라우드 인프라 운영,"분류: 정보통신 > 클라우드. 직무 설명: 클라우드 환경에서 인프라를 구성하고 배포, 운영, 모니터링을 수행하는 직무. 능력단위 명: 클라우드 인프라 운영."
NCS-00072,식품가공 > 식품제조,식품 원료를 가공하고 위생 기준에 따라 제품을 생산하는 직무,식품가공,분류: 식품가공 > 식품제조. 직무 설명: 식품 원료를 가공하고 위생 기준에 따라 제품을 생산하는 직무. 능력단위 명: 식품가공.
NCS-00073,식품가공 > 식품품질,식품의 안전성과 품질을 검사하고 관리 기준을 운영하는 직무,식품품질 관리,분류: 식품가공 > 식품품질. 직무 설명: 식품의 안전성과 품질을 검사하고 관리 기준을 운영하는 직무. 능력단위 명: 식품품질 관리.
NCS-00074,인쇄·목재·가구·공예 > 인쇄,"인쇄물 제작을 위한 편집, 출력, 인쇄 품질 관리를 수행하는 직무",인쇄물 제작,"분류: 인쇄·목재·가구·공예 > 인쇄. 직무 설명: 인쇄물 제작을 위한 편집, 출력, 인쇄 품질 관리를 수행하는 직무. 능력단위 명: 인쇄물 제작."
NCS-00075,인쇄·목재·가구·공예 > 가구제작,가구 설계도와 재료 특성에 따라 제작과 마감을 수행하는 직무,가구제작,분류: 인쇄·목재·가구·공예 > 가구제작. 직무 설명: 가구 설계도와 재료 특성에 따라 제작과 마감을 수행하는 직무. 능력단위 명: 가구제작.
NCS-00076,환경·에너지·안전 > 환경관리,환경오염 요인을 측정하고 관리 기준에 따라 개선 활동을 수행하는 직무,환경오염 관리,분류: 환경·에너지·안전 > 환경관리. 직무 설명: 환경오염 요인을 측정하고 관리 기준에 따라 개선 활동을 수행하는 직무. 능력단위 명: 환경오염 관리.
NCS-00077,환경·에너지·안전 > 에너지,에너지 사용 현황을 분석하고 효율 개선 방안을 수립하는 직무,에너지관리,분류: 환경·에너지·안전 > 에너지. 직무 설명: 에너지 사용 현황을 분석하고 효율 개선 방안을 수립하는 직무. 능력단위 명: 에너지관리.
NCS-00078,환경·에너지·안전 > 산업안전,산업 현장의 위험 요인을 파악하고 사고 예방 체계를 운영하는 직무,산업안전 관리,분류: 환경·에너지·안전 > 산업안전. 직무 설명: 산업 현장의 위험 요인을 파악하고 사고 예방 체계를 운영하는 직무. 능력단위 명: 산업안전 관리.
NCS-00079,농림어업 > 농업,"작물의 재배 환경을 관리하고 생산, 수확, 유통 준비를 수행하는 직무",작물재배,"분류: 농림어업 > 농업. 직무 설명: 작물의 재배 환경을 관리하고 생산, 수확, 유통 준비를 수행하는 직무. 능력단위 명: 작물재배."
NCS-00080,농림어업 > 축산,"가축의 사육 환경, 건강, 생산성을 관리하는 직무",가축사양 관리,"분류: 농림어업 > 축산. 직무 설명: 가축의 사육 환경, 건강, 생산성을 관리하는 직무. 능력단위 명: 가축사양 관리."
NCS-00081,농림어업 > 임업,"산림 자원을 보호하고 조성, 관리, 활용 업무를 수행하는 직무",산림관리,"분류: 농림어업 > 임업. 직무 설명: 산림 자원을 보호하고 조성, 관리, 활용 업무를 수행하는 직무. 능력단위 명: 산림관리."
NCS-00082,농림어업 > 수산,"수산 자원의 생산, 양식, 가공, 유통 준비를 수행하는 직무",수산양식 관리,"분류: 농림어업 > 수산. 직무 설명: 수산 자원의 생산, 양식, 가공, 유통 준비를 수행하는 직무. 능력단위 명: 수산양식 관리."
NCS-00083,정보통신 > 백엔드 개발,"서버 API, 인증, 데이터 저장, 비즈니스 로직을 설계하고 구현하는 직무",서버 프로그램 구현,"분류: 정보통신 > 백엔드 개발. 직무 설명: 서버 API, 인증, 데이터 저장, 비즈니스 로직을 설계하고 구현하는 직무. 능력단위 명: 서버 프로그램 구현."
NCS-00084,정보통신 > 백엔드 개발,데이터베이스 구조를 설계하고 조회 성능과 데이터 정합성을 관리하는 직무,데이터베이스 구현,분류: 정보통신 > 백엔드 개발. 직무 설명: 데이터베이스 구조를 설계하고 조회 성능과 데이터 정합성을 관리하는 직무. 능력단위 명: 데이터베이스 구현.
NCS-00085,정보통신 > 프론트엔드 개발,사용자 화면을 구현하고 API 연동을 통해 서비스를 제공하는 직무,화면 구현,분류: 정보통신 > 프론트엔드 개발. 직무 설명: 사용자 화면을 구현하고 API 연동을 통해 서비스를 제공하는 직무. 능력단위 명: 화면 구현.
NCS-00086,정보통신 > 프론트엔드 개발,사용자 경험과 접근성을 고려하여 화면 상태와 입력 흐름을 관리하는 직무,UI 구현,분류: 정보통신 > 프론트엔드 개발. 직무 설명: 사용자 경험과 접근성을 고려하여 화면 상태와 입력 흐름을 관리하는 직무. 능력단위 명: UI 구현.
NCS-00087,정보통신 > 풀스택 개발,프론트엔드와 백엔드 기능을 함께 이해하고 서비스 전체 흐름을 구현하는 직무,통합 구현,분류: 정보통신 > 풀스택 개발. 직무 설명: 프론트엔드와 백엔드 기능을 함께 이해하고 서비스 전체 흐름을 구현하는 직무. 능력단위 명: 통합 구현.
NCS-00088,정보통신 > DevOps,"배포 자동화, 모니터링, 장애 대응 체계를 구축하여 서비스 운영을 지원하는 직무",CI/CD 운영,"분류: 정보통신 > DevOps. 직무 설명: 배포 자동화, 모니터링, 장애 대응 체계를 구축하여 서비스 운영을 지원하는 직무. 능력단위 명: CI/CD 운영."
NCS-00089,정보통신 > DevOps,운영 지표를 수집하고 장애 징후를 탐지하여 안정적인 서비스를 유지하는 직무,서비스 모니터링,분류: 정보통신 > DevOps. 직무 설명: 운영 지표를 수집하고 장애 징후를 탐지하여 안정적인 서비스를 유지하는 직무. 능력단위 명: 서비스 모니터링.
NCS-00090,정보통신 > 데이터 엔지니어링,"데이터 수집, 저장, 처리 파이프라인을 구축하고 운영하는 직무",데이터 파이프라인 구축,"분류: 정보통신 > 데이터 엔지니어링. 직무 설명: 데이터 수집, 저장, 처리 파이프라인을 구축하고 운영하는 직무. 능력단위 명: 데이터 파이프라인 구축."
NCS-00091,정보통신 > 데이터 사이언스,통계와 머신러닝을 활용해 데이터 기반 문제 해결을 수행하는 직무,분석 모델링,분류: 정보통신 > 데이터 사이언스. 직무 설명: 통계와 머신러닝을 활용해 데이터 기반 문제 해결을 수행하는 직무. 능력단위 명: 분석 모델링.
NCS-00092,정보통신 > AI 서비스 기획,"AI 기능의 사용자 문제, 데이터, 모델 활용 방식을 기획하는 직무",AI 서비스 요구사항 정의,"분류: 정보통신 > AI 서비스 기획. 직무 설명: AI 기능의 사용자 문제, 데이터, 모델 활용 방식을 기획하는 직무. 능력단위 명: AI 서비스 요구사항 정의."
