id,stage,stage_name,label,intent_description,example_question
15,1,방향 탐색,MAJOR_TO_CAREER,전공을 살려 어떤 진로로 연결할 수 있는지 묻는 질문,간호학과 출신인데 병원 말고 다른 진로가 있을까요
16,1,방향 탐색,MAJOR_TO_CAREER,전공을 살려 어떤 진로로 연결할 수 있는지 묻는 질문,사회복지 전공으로 공공기관 취업을 생각하고 있어요
17,1,방향 탐색,MAJOR_TO_CAREER,전공을 살려 어떤 진로로 연결할 수 있는지 묻는 질문,문헌정보학과 전공을 살려 데이터 직무로 갈 수 있나요
18,1,방향 탐색,MAJOR_TO_CAREER,전공을 살려 어떤 진로로 연결할 수 있는지 묻는 질문,전기전자 전공인데 어떤 자격증과 직무가 연결되나요
19,1,방향 탐색,MAJOR_TO_CAREER,전공을 살려 어떤 진로로 연결할 수 있는지 묻는 질문,호텔관광 전공인데 진로 선택지가 궁금해요
20,1,방향 탐색,MAJOR_TO_CAREER,전공을 살려 어떤 진로로 연결할 수 있는지 묻는 질문,전공과 취업 직무를 어떻게 연결해야 할지 모르겠어요
21,1,방향 탐색,INTEREST_EXPLORATION,흥미와 관심사를 바탕으로 진로 후보를 찾는 질문,사람 만나는 걸 좋아하면 어떤 직무가 맞을까요
22,1,방향 탐색,INTEREST_EXPLORATION,흥미와 관심사를 바탕으로 진로 후보를 찾는 질문,혼자 집중해서 일하는 걸 좋아하는데 어떤 일이 좋을까요
23,1,방향 탐색,INTEREST_EXPLORATION,흥미와 관심사를 바탕으로 진로 후보를 찾는 질문,글 쓰는 걸 좋아하는데 취업으로 연결할 수 있을까요
24,1,방향 탐색,INTEREST_EXPLORATION,흥미와 관심사를 바탕으로 진로 후보를 찾는 질문,운동을 좋아하는데 관련 직업이 뭐가 있을까요
25,1,방향 탐색,INTEREST_EXPLORATION,흥미와 관심사를 바탕으로 진로 후보를 찾는 질문,데이터 보는 게 재미있으면 어떤 직무를 보면 좋나요
26,1,방향 탐색,INTEREST_EXPLORATION,흥미와 관심사를 바탕으로 진로 후보를 찾는 질문,기획하는 걸 좋아하는데 어느 분야가 맞을까요
27,1,방향 탐색,INTEREST_EXPLORATION,흥미와 관심사를 바탕으로 진로 후보를 찾는 질문,문제 해결하는 걸 좋아하면 개발자가 맞을까요
28,1,방향 탐색,INTEREST_EXPLORATION,흥미와 관심사를 바탕으로 진로 후보를 찾는 질문,교육이나 설명하는 일을 좋아하면 어떤 직무가 있나요
29,1,방향 탐색,INTEREST_EXPLORATION,흥미와 관심사를 바탕으로 진로 후보를 찾는 질문,새로운 기술을 배우는 걸 좋아하는데 어떤 분야가 좋을까요
30,1,방향 탐색,INTEREST_EXPLORATION,흥미와 관심사를 바탕으로 진로 후보를 찾는 질문,창의적인 일을 하고 싶은데 직무를 못 고르겠어요
31,1,방향 탐색,STRENGTH_DISCOVERY,본인의 강점과 역량을 발견하고 진로와 연결하려는 질문,제가 뭘 잘하는지 모르겠어요
32,1,방향 탐색,STRENGTH_DISCOVERY,본인의 강점과 역량을 발견하고 진로와 연결하려는 질문,강점을 어떻게 찾아야 하나요
33,1,방향 탐색,STRENGTH_DISCOVERY,본인의 강점과 역량을 발견하고 진로와 연결하려는 질문,친구들은 제가 꼼꼼하다고 하는데 어떤 직무에 맞을까요
34,1,방향 탐색,STRENGTH_DISCOVERY,본인의 강점과 역량을 발견하고 진로와 연결하려는 질문,말을 잘하는 편인데 취업에 어떻게 활용할 수 있을까요
35,1,방향 탐색,STRENGTH_DISCOVERY,본인의 강점과 역량을 발견하고 진로와 연결하려는 질문,분석력이 강점인 것 같은데 어떤 직무가 어울릴까요
36,1,방향 탐색,STRENGTH_DISCOVERY,본인의 강점과 역량을 발견하고 진로와 연결하려는 질문,리더십 경험이 있는데 어떤 직무에 도움이 되나요
37,1,방향 탐색,STRENGTH_DISCOVERY,본인의 강점과 역량을 발견하고 진로와 연결하려는 질문,팀 프로젝트 경험에서 제 강점을 어떻게 찾나요
38,1,방향 탐색,STRENGTH_DISCOVERY,본인의 강점과 역량을 발견하고 진로와 연결하려는 질문,저는 성실한 것 말고 내세울 게 없는 것 같아요
39,1,방향 탐색,STRENGTH_DISCOVERY,본인의 강점과 역량을 발견하고 진로와 연결하려는 질문,제 성격이 어떤 직무와 맞는지 알고 싶어요
40,1,방향 탐색,STRENGTH_DISCOVERY,본인의 강점과 역량을 발견하고 진로와 연결하려는 질문,실패 경험도 강점으로 볼 수 있나요
41,2,목표 구체화,JOB_DIRECTION,특정 직무나 직업 방향을 구체화하려는 질문,백엔드 개발자가 되고 싶은데 어떤 방향으로 준비해야 하나요
42,2,목표 구체화,JOB_DIRECTION,특정 직무나 직업 방향을 구체화하려는 질문,데이터 분석가가 되려면 어떤 역량이 필요해요
43,2,목표 구체화,JOB_DIRECTION,특정 직무나 직업 방향을 구체화하려는 질문,마케팅 직무를 준비하려면 뭘 봐야 하나요
44,2,목표 구체화,JOB_DIRECTION,특정 직무나 직업 방향을 구체화하려는 질문,정보보안 쪽으로 가고 싶은데 직무가 어떻게 나뉘나요
45,2,목표 구체화,JOB_DIRECTION,특정 직무나 직업 방향을 구체화하려는 질문,클라우드 엔지니어가 정확히 어떤 일을 하나요
46,2,목표 구체화,JOB_DIRECTION,특정 직무나 직업 방향을 구체화하려는 질문,PM이나 서비스 기획자는 어떤 사람이 잘 맞나요
47,2,목표 구체화,JOB_DIRECTION,특정 직무나 직업 방향을 구체화하려는 질문,공기업 전산직을 목표로 하면 어떤 준비가 필요해요
48,2,목표 구체화,JOB_DIRECTION,특정 직무나 직업 방향을 구체화하려는 질문,회계 직무와 재무 직무 차이가 궁금해요
49,2,목표 구체화,JOB_DIRECTION,특정 직무나 직업 방향을 구체화하려는 질문,UI UX 디자이너가 되려면 어떤 걸 준비해야 해요
50,2,목표 구체화,JOB_DIRECTION,특정 직무나 직업 방향을 구체화하려는 질문,스포츠 마케터가 되고 싶은데 어떻게 준비할까요
51,2,목표 구체화,CERTIFICATE_PLAN,자격증 선택과 취득 순서를 묻는 질문,백엔드 개발자 취업에 정보처리기사 필요할까요
52,2,목표 구체화,CERTIFICATE_PLAN,자격증 선택과 취득 순서를 묻는 질문,데이터 분석 쪽은 어떤 자격증부터 따야 하나요
53,2,목표 구체화,CERTIFICATE_PLAN,자격증 선택과 취득 순서를 묻는 질문,비전공자가 IT 취업하려면 자격증이 꼭 있어야 하나요
54,2,목표 구체화,CERTIFICATE_PLAN,자격증 선택과 취득 순서를 묻는 질문,컴활이랑 정보처리기사 중에 뭐가 먼저일까요
55,2,목표 구체화,CERTIFICATE_PLAN,자격증 선택과 취득 순서를 묻는 질문,보안 직무 준비할 때 추천 자격증이 있나요
56,2,목표 구체화,CERTIFICATE_PLAN,자격증 선택과 취득 순서를 묻는 질문,클라우드 자격증은 AWS부터 따면 되나요
57,2,목표 구체화,CERTIFICATE_PLAN,자격증 선택과 취득 순서를 묻는 질문,회계 쪽 취업하려면 전산회계 자격증이 도움 되나요
58,2,목표 구체화,CERTIFICATE_PLAN,자격증 선택과 취득 순서를 묻는 질문,전기기사 준비 전에 어떤 자격증을 보면 좋을까요
59,2,목표 구체화,CERTIFICATE_PLAN,자격증 선택과 취득 순서를 묻는 질문,자격증이 너무 많은데 제 직무에 맞는 걸 고르고 싶어요
60,2,목표 구체화,CERTIFICATE_PLAN,자격증 선택과 취득 순서를 묻는 질문,NCS 기반으로 어떤 자격증을 준비하면 좋을까요
61,2,목표 구체화,CAREER_CHANGE,전공 또는 기존 경력과 다른 분야로 전환하려는 질문,비전공자인데 개발자로 전향할 수 있을까요
62,2,목표 구체화,CAREER_CHANGE,전공 또는 기존 경력과 다른 분야로 전환하려는 질문,영업직에서 데이터 분석 직무로 옮기고 싶어요
63,2,목표 구체화,CAREER_CHANGE,전공 또는 기존 경력과 다른 분야로 전환하려는 질문,30대인데 IT 직무로 전환해도 늦지 않을까요
64,2,목표 구체화,CAREER_CHANGE,전공 또는 기존 경력과 다른 분야로 전환하려는 질문,디자인을 하다가 프론트엔드로 넘어가고 싶어요
65,2,목표 구체화,CAREER_CHANGE,전공 또는 기존 경력과 다른 분야로 전환하려는 질문,문과생인데 개발 취업이 가능할까요
66,2,목표 구체화,CAREER_CHANGE,전공 또는 기존 경력과 다른 분야로 전환하려는 질문,서비스직 경험을 살려 사무직으로 갈 수 있을까요
67,2,목표 구체화,CAREER_CHANGE,전공 또는 기존 경력과 다른 분야로 전환하려는 질문,체육 전공인데 IT 쪽으로 전환하고 싶어요
68,2,목표 구체화,CAREER_CHANGE,전공 또는 기존 경력과 다른 분야로 전환하려는 질문,경력이 애매한데 새로운 직무로 다시 시작해도 될까요
69,2,목표 구체화,CAREER_CHANGE,전공 또는 기존 경력과 다른 분야로 전환하려는 질문,공무원 준비하다가 취업으로 방향을 바꾸려 해요
70,2,목표 구체화,CAREER_CHANGE,전공 또는 기존 경력과 다른 분야로 전환하려는 질문,제조업에서 품질 데이터 직무로 옮기고 싶어요
71,2,목표 구체화,INDUSTRY_EXPLORATION,산업 전망과 분야 선택을 묻는 질문,요즘 IT 산업 전망이 어떤가요
72,2,목표 구체화,INDUSTRY_EXPLORATION,산업 전망과 분야 선택을 묻는 질문,AI 시대에 유망한 직무가 궁금해요
73,2,목표 구체화,INDUSTRY_EXPLORATION,산업 전망과 분야 선택을 묻는 질문,데이터 분야는 앞으로도 괜찮을까요
74,2,목표 구체화,INDUSTRY_EXPLORATION,산업 전망과 분야 선택을 묻는 질문,바이오 산업 취업은 어떤 직무가 있나요
75,2,목표 구체화,INDUSTRY_EXPLORATION,산업 전망과 분야 선택을 묻는 질문,스포츠 산업에서 취업할 수 있는 분야가 궁금해요
76,2,목표 구체화,INDUSTRY_EXPLORATION,산업 전망과 분야 선택을 묻는 질문,공공기관과 사기업 중 어디가 더 맞을까요
77,2,목표 구체화,INDUSTRY_EXPLORATION,산업 전망과 분야 선택을 묻는 질문,금융권 IT 직무는 어떤 특징이 있나요
78,2,목표 구체화,INDUSTRY_EXPLORATION,산업 전망과 분야 선택을 묻는 질문,콘텐츠 산업에서 어떤 직무를 준비하면 좋나요
79,2,목표 구체화,INDUSTRY_EXPLORATION,산업 전망과 분야 선택을 묻는 질문,제조업도 디지털 직무가 많이 필요할까요
80,2,목표 구체화,INDUSTRY_EXPLORATION,산업 전망과 분야 선택을 묻는 질문,관심 산업을 고를 때 어떤 기준을 봐야 하나요
81,3,실행 계획,STUDY_PLAN,학습 순서와 공부 계획을 묻는 질문,백엔드 개발 공부 순서를 알려주세요
82,3,실행 계획,STUDY_PLAN,학습 순서와 공부 계획을 묻는 질문,SQL을 처음 배우는데 어떻게 공부하면 좋을까요
83,3,실행 계획,STUDY_PLAN,학습 순서와 공부 계획을 묻는 질문,정보처리기사 공부 계획을 세우고 싶어요
84,3,실행 계획,STUDY_PLAN,학습 순서와 공부 계획을 묻는 질문,비전공자 개발 공부는 무엇부터 해야 하나요
85,3,실행 계획,STUDY_PLAN,학습 순서와 공부 계획을 묻는 질문,데이터 분석 포트폴리오 전에 뭘 공부해야 하나요
86,3,실행 계획,STUDY_PLAN,학습 순서와 공부 계획을 묻는 질문,하루에 두 시간씩 공부하면 어떻게 계획을 짜야 할까요
87,3,실행 계획,STUDY_PLAN,학습 순서와 공부 계획을 묻는 질문,클라우드 공부는 네트워크부터 해야 하나요
88,3,실행 계획,STUDY_PLAN,학습 순서와 공부 계획을 묻는 질문,자바랑 스프링 중 뭘 먼저 공부해야 하나요
89,3,실행 계획,STUDY_PLAN,학습 순서와 공부 계획을 묻는 질문,취업까지 6개월 남았는데 공부 계획이 필요해요
90,3,실행 계획,STUDY_PLAN,학습 순서와 공부 계획을 묻는 질문,프론트엔드 취업 준비 로드맵을 알고 싶어요
91,3,실행 계획,PORTFOLIO_PLAN,포트폴리오 준비 방향을 묻는 질문,개발자 포트폴리오는 어떤 프로젝트를 넣어야 하나요
92,3,실행 계획,PORTFOLIO_PLAN,포트폴리오 준비 방향을 묻는 질문,비전공자 포트폴리오는 어떻게 차별화해야 하나요
93,3,실행 계획,PORTFOLIO_PLAN,포트폴리오 준비 방향을 묻는 질문,데이터 분석 포트폴리오 주제를 추천받고 싶어요
94,3,실행 계획,PORTFOLIO_PLAN,포트폴리오 준비 방향을 묻는 질문,서비스 기획 포트폴리오는 어떤 식으로 준비하나요
95,3,실행 계획,PORTFOLIO_PLAN,포트폴리오 준비 방향을 묻는 질문,디자인 포트폴리오에서 무엇을 강조해야 할까요
96,3,실행 계획,PORTFOLIO_PLAN,포트폴리오 준비 방향을 묻는 질문,프로젝트 경험이 부족한데 포트폴리오를 만들 수 있을까요
97,3,실행 계획,PORTFOLIO_PLAN,포트폴리오 준비 방향을 묻는 질문,깃허브에 뭘 정리해야 포트폴리오로 보일까요
98,3,실행 계획,PORTFOLIO_PLAN,포트폴리오 준비 방향을 묻는 질문,팀 프로젝트를 포트폴리오에 어떻게 활용하면 좋나요
99,3,실행 계획,PORTFOLIO_PLAN,포트폴리오 준비 방향을 묻는 질문,포트폴리오에 자격증과 강의 수강 내용을 넣어도 되나요
100,3,실행 계획,PORTFOLIO_PLAN,포트폴리오 준비 방향을 묻는 질문,신입 포트폴리오에서 가장 중요한 건 뭔가요
101,3,실행 계획,EXPERIENCE_PLAN,"대외활동, 인턴, 프로젝트 경험 계획을 묻는 질문",취업 전에 어떤 경험을 쌓아야 할까요
102,3,실행 계획,EXPERIENCE_PLAN,"대외활동, 인턴, 프로젝트 경험 계획을 묻는 질문",인턴을 꼭 해야 취업에 유리한가요
103,3,실행 계획,EXPERIENCE_PLAN,"대외활동, 인턴, 프로젝트 경험 계획을 묻는 질문",프로젝트 경험이 없으면 무엇부터 해야 하나요
104,3,실행 계획,EXPERIENCE_PLAN,"대외활동, 인턴, 프로젝트 경험 계획을 묻는 질문",공모전 경험이 취업에 도움이 될까요
105,3,실행 계획,EXPERIENCE_PLAN,"대외활동, 인턴, 프로젝트 경험 계획을 묻는 질문",동아리 경험을 직무 경험으로 볼 수 있나요
106,3,실행 계획,EXPERIENCE_PLAN,"대외활동, 인턴, 프로젝트 경험 계획을 묻는 질문",데이터 직무 준비할 때 어떤 실습 경험이 좋나요
107,3,실행 계획,EXPERIENCE_PLAN,"대외활동, 인턴, 프로젝트 경험 계획을 묻는 질문",백엔드 개발자는 어떤 프로젝트 경험이 필요해요
108,3,실행 계획,EXPERIENCE_PLAN,"대외활동, 인턴, 프로젝트 경험 계획을 묻는 질문",마케팅 직무는 어떤 대외활동이 도움이 되나요
109,3,실행 계획,EXPERIENCE_PLAN,"대외활동, 인턴, 프로젝트 경험 계획을 묻는 질문",봉사활동 경험도 취업에 도움이 될까요
110,3,실행 계획,EXPERIENCE_PLAN,"대외활동, 인턴, 프로젝트 경험 계획을 묻는 질문",실무 경험이 부족한데 어떤 활동을 추가하면 좋을까요
111,3,실행 계획,INTERVIEW_PREP,면접 준비 방향을 묻는 질문,개발자 면접은 어떻게 준비해야 하나요
112,3,실행 계획,INTERVIEW_PREP,면접 준비 방향을 묻는 질문,인성 면접에서 자주 나오는 질문이 궁금해요
113,3,실행 계획,INTERVIEW_PREP,면접 준비 방향을 묻는 질문,기술 면접 준비를 어디서부터 해야 할까요
114,3,실행 계획,INTERVIEW_PREP,면접 준비 방향을 묻는 질문,면접에서 프로젝트 설명을 어떻게 연습하면 좋을까요
115,3,실행 계획,INTERVIEW_PREP,면접 준비 방향을 묻는 질문,비전공자라 면접에서 전공 질문이 걱정돼요
116,3,실행 계획,INTERVIEW_PREP,면접 준비 방향을 묻는 질문,데이터 분석 면접은 어떤 걸 물어보나요
117,3,실행 계획,INTERVIEW_PREP,면접 준비 방향을 묻는 질문,면접 전에 기업 분석은 어떻게 해야 하나요
118,3,실행 계획,INTERVIEW_PREP,면접 준비 방향을 묻는 질문,첫 면접이라 너무 긴장되는데 준비 방법이 있을까요
119,3,실행 계획,INTERVIEW_PREP,면접 준비 방향을 묻는 질문,직무 면접과 임원 면접 준비가 어떻게 다른가요
120,3,실행 계획,INTERVIEW_PREP,면접 준비 방향을 묻는 질문,면접에서 자격증 이야기를 어떻게 꺼내야 하나요
121,3,실행 계획,SKILL_GAP,목표 직무와 현재 역량 차이를 확인하려는 질문,백엔드 취업하려면 지금 제 실력에서 뭐가 부족할까요
122,3,실행 계획,SKILL_GAP,목표 직무와 현재 역량 차이를 확인하려는 질문,데이터 분석가가 되려면 엑셀만으로 부족한가요
123,3,실행 계획,SKILL_GAP,목표 직무와 현재 역량 차이를 확인하려는 질문,프론트엔드 취업 전에 어떤 기술을 더 해야 하나요
124,3,실행 계획,SKILL_GAP,목표 직무와 현재 역량 차이를 확인하려는 질문,클라우드 직무 준비에 리눅스가 많이 부족해요
125,3,실행 계획,SKILL_GAP,목표 직무와 현재 역량 차이를 확인하려는 질문,포트폴리오는 있는데 면접에서 설명을 잘 못해요
126,3,실행 계획,SKILL_GAP,목표 직무와 현재 역량 차이를 확인하려는 질문,자격증은 있는데 실무 프로젝트가 부족한 것 같아요
127,3,실행 계획,SKILL_GAP,목표 직무와 현재 역량 차이를 확인하려는 질문,비전공자라 컴퓨터 기초가 부족한데 괜찮을까요
128,3,실행 계획,SKILL_GAP,목표 직무와 현재 역량 차이를 확인하려는 질문,SQL을 어느 정도 해야 데이터 직무에 지원할 수 있나요
129,3,실행 계획,SKILL_GAP,목표 직무와 현재 역량 차이를 확인하려는 질문,채용공고를 보면 요구사항이 너무 많아서 뭘 해야 할지 모르겠어요
130,3,실행 계획,SKILL_GAP,목표 직무와 현재 역량 차이를 확인하려는 질문,제 이력으로 지원 가능한 직무 수준을 알고 싶어요
131,4,핏격 AI 기능 안내,JOB_POSTING_ANALYSIS,채용공고 분석 AI 기능으로 연결할 질문,채용공고를 보고 어떤 강의를 들어야 할지 알고 싶어요
132,4,핏격 AI 기능 안내,JOB_POSTING_ANALYSIS,채용공고 분석 AI 기능으로 연결할 질문,공고에 나온 우대사항을 어떻게 준비해야 할까요
133,4,핏격 AI 기능 안내,JOB_POSTING_ANALYSIS,채용공고 분석 AI 기능으로 연결할 질문,채용공고 내용을 붙여넣으면 분석해줄 수 있나요
134,4,핏격 AI 기능 안내,JOB_POSTING_ANALYSIS,채용공고 분석 AI 기능으로 연결할 질문,이 공고가 제 역량이랑 맞는지 궁금해요
135,4,핏격 AI 기능 안내,JOB_POSTING_ANALYSIS,채용공고 분석 AI 기능으로 연결할 질문,공고에서 중요하게 보는 기술을 정리하고 싶어요
136,4,핏격 AI 기능 안내,JOB_POSTING_ANALYSIS,채용공고 분석 AI 기능으로 연결할 질문,지원하려는 회사 공고를 분석해서 준비 방향을 알고 싶어요
137,4,핏격 AI 기능 안내,JOB_POSTING_ANALYSIS,채용공고 분석 AI 기능으로 연결할 질문,채용공고에서 어떤 자격증이 필요한지 보고 싶어요
138,4,핏격 AI 기능 안내,JOB_POSTING_ANALYSIS,채용공고 분석 AI 기능으로 연결할 질문,공고 기반으로 부족한 역량을 알고 싶어요
139,4,핏격 AI 기능 안내,JOB_POSTING_ANALYSIS,채용공고 분석 AI 기능으로 연결할 질문,채용공고랑 제 준비 상태를 비교해보고 싶어요
140,4,핏격 AI 기능 안내,JOB_POSTING_ANALYSIS,채용공고 분석 AI 기능으로 연결할 질문,공고에 맞춰서 어떤 공부를 해야 하는지 알고 싶어요
141,4,핏격 AI 기능 안내,COURSE_RECOMMENDATION,강의 추천 기능으로 연결할 질문,제 목표에 맞는 강의를 추천받고 싶어요
142,4,핏격 AI 기능 안내,COURSE_RECOMMENDATION,강의 추천 기능으로 연결할 질문,백엔드 취업 준비에 필요한 강의가 궁금해요
143,4,핏격 AI 기능 안내,COURSE_RECOMMENDATION,강의 추천 기능으로 연결할 질문,정보처리기사 준비 강의를 찾고 싶어요
144,4,핏격 AI 기능 안내,COURSE_RECOMMENDATION,강의 추천 기능으로 연결할 질문,데이터 분석 공부에 맞는 강의가 있을까요
145,4,핏격 AI 기능 안내,COURSE_RECOMMENDATION,강의 추천 기능으로 연결할 질문,어떤 강의를 먼저 들어야 할지 모르겠어요
146,4,핏격 AI 기능 안내,COURSE_RECOMMENDATION,강의 추천 기능으로 연결할 질문,제 수준에 맞는 강의를 추천받을 수 있나요
147,4,핏격 AI 기능 안내,COURSE_RECOMMENDATION,강의 추천 기능으로 연결할 질문,자격증별 강의 추천도 가능한가요
148,4,핏격 AI 기능 안내,COURSE_RECOMMENDATION,강의 추천 기능으로 연결할 질문,채용공고에 맞춰 강의를 고르고 싶어요
149,4,핏격 AI 기능 안내,COURSE_RECOMMENDATION,강의 추천 기능으로 연결할 질문,강의가 너무 많아서 뭘 들어야 할지 모르겠어요
150,4,핏격 AI 기능 안내,COURSE_RECOMMENDATION,강의 추천 기능으로 연결할 질문,비전공자에게 맞는 입문 강의를 찾고 싶어요
151,4,핏격 AI 기능 안내,RESUME_REVIEW,이력서 평가 AI 기능으로 연결할 질문,이력서를 평가받고 싶어요
152,4,핏격 AI 기능 안내,RESUME_REVIEW,이력서 평가 AI 기능으로 연결할 질문,제 이력서가 직무에 맞는지 봐줄 수 있나요
153,4,핏격 AI 기능 안내,RESUME_REVIEW,이력서 평가 AI 기능으로 연결할 질문,이력서에서 부족한 부분을 알고 싶어요
154,4,핏격 AI 기능 안내,RESUME_REVIEW,이력서 평가 AI 기능으로 연결할 질문,이력서를 업로드하면 피드백 받을 수 있나요
155,4,핏격 AI 기능 안내,RESUME_REVIEW,이력서 평가 AI 기능으로 연결할 질문,신입 이력서 평가를 받고 싶어요
156,4,핏격 AI 기능 안내,RESUME_REVIEW,이력서 평가 AI 기능으로 연결할 질문,경력기술서 말고 이력서도 평가 가능한가요
157,4,핏격 AI 기능 안내,RESUME_REVIEW,이력서 평가 AI 기능으로 연결할 질문,이력서 내용이 너무 약한지 확인하고 싶어요
158,4,핏격 AI 기능 안내,RESUME_REVIEW,이력서 평가 AI 기능으로 연결할 질문,지원 직무에 맞게 이력서가 작성됐는지 궁금해요
159,4,핏격 AI 기능 안내,RESUME_REVIEW,이력서 평가 AI 기능으로 연결할 질문,이력서 첨삭 기능이 있나요
160,4,핏격 AI 기능 안내,RESUME_REVIEW,이력서 평가 AI 기능으로 연결할 질문,이력서를 AI로 점검하고 싶어요
161,4,핏격 AI 기능 안내,COVER_LETTER_REVIEW,자기소개서 평가 AI 기능으로 연결할 질문,자기소개서를 평가받고 싶어요
162,4,핏격 AI 기능 안내,COVER_LETTER_REVIEW,자기소개서 평가 AI 기능으로 연결할 질문,자소서 문항별로 피드백 받을 수 있나요
163,4,핏격 AI 기능 안내,COVER_LETTER_REVIEW,자기소개서 평가 AI 기능으로 연결할 질문,자기소개서가 직무랑 잘 맞는지 보고 싶어요
164,4,핏격 AI 기능 안내,COVER_LETTER_REVIEW,자기소개서 평가 AI 기능으로 연결할 질문,지원동기 문항을 평가받고 싶어요
165,4,핏격 AI 기능 안내,COVER_LETTER_REVIEW,자기소개서 평가 AI 기능으로 연결할 질문,입사 후 포부가 괜찮은지 봐줄 수 있나요
166,4,핏격 AI 기능 안내,COVER_LETTER_REVIEW,자기소개서 평가 AI 기능으로 연결할 질문,자소서 첨삭 기능이 있나요
167,4,핏격 AI 기능 안내,COVER_LETTER_REVIEW,자기소개서 평가 AI 기능으로 연결할 질문,자기소개서 항목별 점수를 알고 싶어요
168,4,핏격 AI 기능 안내,COVER_LETTER_REVIEW,자기소개서 평가 AI 기능으로 연결할 질문,AI가 자소서를 평가해주나요
169,4,핏격 AI 기능 안내,COVER_LETTER_REVIEW,자기소개서 평가 AI 기능으로 연결할 질문,자기소개서에서 보완할 점을 알고 싶어요
170,4,핏격 AI 기능 안내,COVER_LETTER_REVIEW,자기소개서 평가 AI 기능으로 연결할 질문,자소서를 업로드해서 평가받을 수 있나요
171,4,핏격 AI 기능 안내,AI_FEATURE_QUESTION,핏격 AI 기능 자체에 대한 질문,핏격 AI 기능은 뭐가 있나요
172,4,핏격 AI 기능 안내,AI_FEATURE_QUESTION,핏격 AI 기능 자체에 대한 질문,AI 구독권을 사면 어떤 기능을 쓸 수 있나요
173,4,핏격 AI 기능 안내,AI_FEATURE_QUESTION,핏격 AI 기능 자체에 대한 질문,AI 기능은 무료인가요
174,4,핏격 AI 기능 안내,AI_FEATURE_QUESTION,핏격 AI 기능 자체에 대한 질문,진로 상담 챗봇이랑 구독 AI 기능은 뭐가 달라요
175,4,핏격 AI 기능 안내,AI_FEATURE_QUESTION,핏격 AI 기능 자체에 대한 질문,핏격 AI는 취업 준비에 어떻게 도움이 되나요
176,4,핏격 AI 기능 안내,AI_FEATURE_QUESTION,핏격 AI 기능 자체에 대한 질문,AI 추천은 어떤 기준으로 해주나요
177,4,핏격 AI 기능 안내,AI_FEATURE_QUESTION,핏격 AI 기능 자체에 대한 질문,AI 이력서 평가는 어디서 사용할 수 있나요
178,4,핏격 AI 기능 안내,AI_FEATURE_QUESTION,핏격 AI 기능 자체에 대한 질문,AI 강의 추천 기능을 어떻게 쓰나요
179,4,핏격 AI 기능 안내,AI_FEATURE_QUESTION,핏격 AI 기능 자체에 대한 질문,AI 기능을 사용하려면 구독이 필요한가요
180,4,핏격 AI 기능 안내,AI_FEATURE_QUESTION,핏격 AI 기능 자체에 대한 질문,진로 상담 후 어떤 AI 기능을 쓰면 좋을까요
